"job_title","job_id","salary_year_avg","company_name","skills"
"Data Architect - Sustainability",1719883,"155000.0","LyondellBasell","sap"
"Data Analyst – ING Branches and Service",579207,"89204.0","ING","sql"
"Data Analyst – ING Branches and Service",579207,"89204.0","ING","r"
"Data Analyst – ING Branches and Service",579207,"89204.0","ING","sas"
"Data Analyst – ING Branches and Service",579207,"89204.0","ING","excel"
"Data Analyst – ING Branches and Service",579207,"89204.0","ING","sas"
"Data Analyst – ING Branches and Service",579207,"89204.0","ING","cognos"
"Web / Data Analyst",724033,"74368.5","DEPT®","javascript"
"Web / Data Analyst",724033,"74368.5","DEPT®","html"
"Web / Data Analyst",724033,"74368.5","DEPT®","css"
